id,lastLogOff,timeCreated,accountAge,accountAgePersonal,nrOfGamesOwned,totalNumberOfGamesPlayedFriends,meanNumberOfPGameslayedFriends,nrOfGamesPlayed,totalPlaytime,nrOfFriends,totalPlaytimeFriends,meanPlaytimeFriends,totalNrOfGamesOwnedFriends,meanNrOfGamesOwnedFriends,totalAccountAgeFriends,meanAccountAgeFriends,totalAccountAgeFriendsPersonal,meanAccountAgeFriendsPersonal
7.656119821824173e+16,1508525008.0,1426699712.0,85457452.0,81825296.0,4.0,190.0,14.615384615384615,4.0,42208.0,13.0,2752950.0,211765.38461538462,310.0,23.846153846153847,3044024626.0,234155740.46153846,3033940981.0,233380075.46153846
7.656119805733574e+16,1511608735.0,1327013925.0,185143239.0,184594810.0,121.0,359.0,51.285714285714285,96.0,225426.0,7.0,1930465.0,275780.71428571426,745.0,106.42857142857143,1014490373.0,144927196.14285713,1007671993.0,143953141.85714287
7.656119813123747e+16,1511559847.0,1396024755.0,116132409.0,115535092.0,261.0,1258.0,74.0,158.0,166974.0,17.0,3288580.0,193445.88235294117,1781.0,104.76470588235294,2883062122.0,169591889.52941176,2866106760.0,168594515.29411766
7.65611980990633e+16,1512055048.0,1374369165.0,137787999.0,137685883.0,18.0,1606.0,100.375,17.0,17960.0,16.0,1593286.0,99580.375,2664.0,166.5,1307132712.0,81695794.5,1303478534.0,81467408.375
7.656119807079712e+16,1506385312.0,1346633302.0,165523862.0,159752010.0,27.0,285.0,47.5,6.0,23245.0,6.0,637478.0,106246.33333333333,531.0,88.5,1225438785.0,204239797.5,1221036782.0,203506130.33333334
7.656119811375472e+16,1510321632.0,1383814625.0,128342539.0,126507007.0,86.0,270.0,15.882352941176471,41.0,69457.0,17.0,212987.0,12528.64705882353,393.0,23.11764705882353,2086111753.0,122712456.05882353,1909911466.0,112347733.29411764
7.656119808467976e+16,1511223315.0,1361645478.0,150511686.0,149577837.0,98.0,1781.0,35.62,48.0,47705.0,50.0,3588343.0,71766.86,3195.0,63.9,8834607115.0,176692142.3,8769829361.0,175396587.22
7.656119824813443e+16,1510506910.0,1441112310.0,71044854.0,69394600.0,3.0,276.0,19.714285714285715,3.0,31857.0,14.0,1901713.0,135836.64285714287,364.0,26.0,1846431264.0,131887947.42857143,1834453578.0,131032398.42857143
7.656119802696714e+16,1509143869.0,1277399481.0,234757683.0,231744388.0,69.0,691.0,62.81818181818182,55.0,66848.0,11.0,1998282.0,181662.0,1051.0,95.54545454545455,2408078004.0,218916182.1818182,2396574543.0,217870413.0
7.656119819321736e+16,1511293934.0,1429783955.0,82373209.0,81509979.0,27.0,1302.0,162.75,16.0,125510.0,8.0,1201940.0,150242.5,1858.0,232.25,610484936.0,76310617.0,603497540.0,75437192.5
