id,lastLogOff,timeCreated,accountAge,accountAgePersonal,totalPlaytime,nrOfFriends,totalPlaytimeFriends,meanPlaytimeFriends,totalGamecountFriends,meanGamecountFriends,totalAccountAgeFriends,meanAccountAgeFriends,totalAccountAgeFriendsPersonal,meanAccountAgeFriendsPersonal
7.656119819321736e+16,1511293934.0,1429783955.0,82373100.0,81509979.0,125510.0,8.0,1201940.0,150242.5,1858.0,232.25,610484064.0,76310508.0,603497540.0,75437192.5
7.656119815208538e+16,1511892190.0,1409241554.0,102915501.0,102650636.0,2998.0,8.0,216306.0,27038.25,127.0,15.875,1114477286.0,139309660.75,1064686007.0,133085750.875
7.656119810363096e+16,1511664663.0,1376948937.0,135208118.0,134715726.0,5485.0,8.0,599547.0,74943.375,93.0,11.625,1231209853.0,153901231.625,1196995011.0,149624376.375
7.656119824447213e+16,1511577061.0,1439504487.0,72652568.0,72072574.0,131071.0,20.0,2717683.0,135884.15,755.0,37.75,1762416285.0,88120814.25,1741078776.0,87053938.8
7.656119811796254e+16,1510672778.0,1386980248.0,125176807.0,123692530.0,4474.0,6.0,75511.0,12585.166666666666,65.0,10.833333333333334,815481951.0,135913658.5,811302889.0,135217148.16666666
7.656119817255434e+16,1511285059.0,1420551104.0,91605951.0,90733955.0,106314.0,17.0,1689392.0,99376.0,1060.0,62.35294117647059,2071021861.0,121824815.35294117,1960855434.0,115344437.29411764
7.656119807499606e+16,1511327986.0,1352004710.0,160152345.0,159323276.0,284844.0,45.0,8508017.0,189067.04444444444,9117.0,202.6,8657113240.0,192380294.2222222,8473259820.0,188294662.66666666
7.65611980016446e+16,1511550774.0,1223306848.0,288850207.0,288243926.0,46516.0,9.0,984284.0,109364.88888888889,299.0,33.22222222222222,886453084.0,98494787.1111111,880429759.0,97825528.77777778
7.656119814169571e+16,1509670101.0,1403461997.0,108695058.0,106208104.0,126480.0,8.0,1700860.0,212607.5,206.0,25.75,1711449068.0,213931133.5,1669097020.0,208637127.5
7.656119811977701e+16,1511221210.0,1388027496.0,124129559.0,123193714.0,96011.0,7.0,537853.0,76836.14285714286,418.0,59.714285714285715,830897657.0,118699665.28571428,815391004.0,116484429.14285715
